ParticipantID	HurricaneName	Rating	HurricaneGender	HurricaneAge
64	Kyle	4	male	young
64	Laura	7	female	old
64	Hanna	4	female	young
64	Marco	3	male	young
65	Arthur	4	male	old
65	Bertha	5	female	old
65	Cristobal	5	male	young
65	Dolly	3	female	old
65	Fay	4	female	old
65	Omar	3	male	young
65	Kyle	5	male	young
65	Laura	5	female	old
65	Hanna	4	female	young
65	Marco	2	male	young
66	Arthur	4	male	old
66	Bertha	4	female	old
66	Cristobal	4	male	young
66	Dolly	4	female	old
66	Fay	4	female	old
66	Omar	4	male	young
66	Kyle	4	male	young
66	Laura	4	female	old
66	Hanna	6	female	young
66	Marco	4	male	young
67	Arthur	4	male	old
67	Bertha	4	female	old
67	Cristobal	4	male	young
67	Dolly	4	female	old
67	Fay	4	female	old
67	Omar	4	male	young
67	Kyle	4	male	young
67	Laura	6	female	old
67	Hanna	4	female	young
67	Marco	4	male	young
68	Arthur	3	male	old
68	Bertha	5	female	old
68	Cristobal	5	male	young
68	Dolly	4	female	old
68	Fay	3	female	old
68	Omar	3	male	young
68	Kyle	3	male	young
68	Laura	3	female	old
68	Hanna	3	female	young
68	Marco	2	male	young
69	Arthur	6	male	old
69	Bertha	5	female	old
69	Cristobal	2	male	young
69	Dolly	7	female	old
69	Fay	3	female	old
69	Omar	7	male	young
69	Kyle	6	male	young
69	Laura	2	female	old
69	Hanna	7	female	young
69	Marco	1	male	young
70	Arthur	2	male	old
70	Bertha	2	female	old
70	Cristobal	3.5	male	young
70	Dolly	4.5	female	old
70	Fay	4.5	female	old
70	Omar	4	male	young
70	Kyle	4	male	young
70	Laura	1.5	female	old
70	Hanna	6.5	female	young
70	Marco	5	male	young
71	Arthur	5.5	male	old
71	Bertha	6	female	old
71	Cristobal	3.5	male	young
71	Dolly	3.5	female	old
71	Fay	4.5	female	old
71	Omar	5.5	male	young
71	Kyle	4.5	male	young
71	Laura	6.5	female	old
71	Hanna	4.5	female	young
71	Marco	4	male	young
72	Arthur	6	male	old
72	Bertha	7	female	old
72	Cristobal	2	male	young
72	Dolly	3.5	female	old
72	Fay	6	female	old
72	Omar	4.5	male	young
72	Kyle	6.5	male	young
72	Laura	4.5	female	old
72	Hanna	4.5	female	young
72	Marco	5.5	male	young
73	Arthur	4	male	old
73	Bertha	5.5	female	old
73	Cristobal	4	male	young
73	Dolly	5	female	old
73	Fay	3	female	old
73	Omar	4	male	young
73	Kyle	5	male	young
73	Laura	6	female	old
73	Hanna	5	female	young
73	Marco	6	male	young
74	Arthur	2.5	male	old
74	Bertha	4	female	old
74	Cristobal	2.5	male	young
74	Dolly	3.5	female	old
74	Fay	2.5	female	old
74	Omar	3	male	young
74	Kyle	3.5	male	young
74	Laura	3	female	old
74	Hanna	2.5	female	young
74	Marco	3	male	young
75	Arthur	7	male	old
75	Bertha	6	female	old
75	Cristobal	6	male	young
75	Dolly	6	female	old
75	Fay	6	female	old
75	Omar	4	male	young
75	Kyle	3.5	male	young
75	Laura	4	female	old
75	Hanna	3	female	young
75	Marco	2.5	male	young
76	Arthur	2	male	old
76	Bertha	6	female	old
76	Cristobal	5	male	young
76	Dolly	3.5	female	old
76	Fay	3	female	old
76	Omar	4.5	male	young
76	Kyle	5	male	young
76	Laura	4	female	old
76	Hanna	5	female	young
76	Marco	3	male	young
77	Arthur	4	male	old
77	Bertha	4	female	old
77	Cristobal	3.5	male	young
77	Dolly	4	female	old
77	Fay	3	female	old
77	Omar	3	male	young
77	Kyle	3	male	young
77	Laura	3	female	old
77	Hanna	4	female	young
77	Marco	3	male	young
78	Arthur	4.5	male	old
78	Bertha	5.5	female	old
78	Cristobal	3.5	male	young
78	Dolly	4.5	female	old
78	Fay	3	female	old
78	Omar	4.5	male	young
78	Kyle	3.5	male	young
78	Laura	3.5	female	old
78	Hanna	5.5	female	young
78	Marco	4	male	young
79	Arthur	5	male	old
79	Bertha	6	female	old
79	Cristobal	5	male	young
79	Dolly	6	female	old
79	Fay	6	female	old
79	Omar	5	male	young
79	Kyle	5	male	young
79	Laura	5	female	old
79	Hanna	5	female	young
79	Marco	6	male	young
80	Arthur	5	male	old
80	Bertha	6	female	old
80	Cristobal	5	male	young
80	Dolly	5	female	old
80	Fay	6	female	old
80	Omar	5	male	young
80	Kyle	7	male	young
80	Laura	6	female	old
80	Hanna	7	female	young
80	Marco	6	male	young
81	Arthur	3	male	old
81	Bertha	3	female	old
81	Cristobal	3	male	young
81	Dolly	3.5	female	old
81	Fay	4	female	old
81	Omar	3.5	male	young
81	Kyle	5.5	male	young
81	Laura	6	female	old
81	Hanna	4	female	young
81	Marco	4.5	male	young
82	Arthur	5	male	old
82	Bertha	5	female	old
82	Cristobal	6	male	young
82	Dolly	6	female	old
82	Fay	6	female	old
82	Omar	5	male	young
82	Kyle	7	male	young
82	Laura	6	female	old
82	Hanna	7	female	young
82	Marco	5.5	male	young
83	Arthur	2	male	old
83	Bertha	5	female	old
83	Cristobal	1	male	young
83	Dolly	1.5	female	old
83	Fay	1	female	old
83	Omar	7	male	young
83	Kyle	1	male	young
83	Laura	4	female	old
83	Hanna	5.5	female	young
83	Marco	4	male	young
84	Arthur	5	male	old
84	Bertha	5	female	old
84	Cristobal	3	male	young
84	Dolly	5	female	old
84	Fay	6	female	old
84	Omar	5	male	young
84	Kyle	4	male	young
84	Laura	3.5	female	old
84	Hanna	4	female	young
84	Marco	5	male	young
85	Arthur	3	male	old
85	Bertha	7	female	old
85	Cristobal	1	male	young
85	Dolly	4	female	old
85	Fay	5	female	old
85	Omar	4	male	young
85	Kyle	7	male	young
85	Laura	2.5	female	old
85	Hanna	2	female	young
85	Marco	5	male	young
86	Arthur	4	male	old
86	Bertha	2	female	old
86	Cristobal	3	male	young
86	Dolly	3	female	old
86	Fay	4	female	old
86	Omar	2	male	young
86	Kyle	5	male	young
86	Laura	6	female	old
86	Hanna	5	female	young
