HouseholdSize,Adults_D,H2O_Cost,Under17,Child1_D,Barcode_ID,Has_Barcode
4,0,10,1,0,100201,Yes
3,1,50,2,0,100219,Yes
5,0,0,1,0,100221,Yes
5,1,15,2,3,100246,Yes
6,0,10,2,0,100248,Yes
3,0,10,0,NA,100254,Yes
2,0,0,0,NA,100267,Yes
5,0,20,1,0,100281,Yes
2,0,0,1,0,100290,Yes
4,0,25,2,0,100292,Yes
3,0,10,1,0,100302,Yes
2,0,10,1,3,100326,Yes
3,1,10,3,0,100334,Yes
5,3,10,3,0,100335,Yes
3,0,10,2,0,100336,Yes
2,1,10,0,NA,100337,Yes
2,0,10,1,0,100338,Yes
5,0,0,8,NA,123,No
3,1,0,1,0,100312,No
2,0,10,1,0,100313,No
5,0,15,2,0,100316,No
4,0,20,0,NA,100144,Yes
3,0,20,0,NA,100148,Yes
3,0,20,0,NA,100151,Yes
4,0,0,4,0,100155,Yes
4,0,15,2,0,100158,Yes
4,2,0,1,0,100175,Yes
2,0,0,1,0,100189,Yes
2,0,0,0,NA,100211,Yes
4,2,0,0,NA,100227,Yes
3,0,0,2,0,100234,Yes
5,0,0,0,NA,100239,Yes
3,0,20,1,0,100257,Yes
2,0,0,1,0,100262,Yes
3,0,0,0,NA,100264,Yes
6,0,20,0,NA,100271,Yes
4,0,0,0,NA,100280,Yes
4,0,0,1,0,100295,Yes
6,0,0,0,NA,100296,Yes
2,0,0,0,NA,100297,Yes
2,0,20,3,0,100320,Yes
2,1,0,2,0,100327,Yes
2,0,8,1,2,100328,Yes
4,0,0,1,0,100330,Yes
2,0,0,2,0,100331,Yes
5,0,10,3,0,100332,Yes
4,0,0,4,0,100353,Yes
3,0,20,1,0,NA,No
3,0,8,3,0,100210,Yes
1,0,0,0,NA,100214,Yes
2,1,0,1,0,100217,Yes
4,0,0,0,NA,100223,Yes
2,0,0,2,2,100344,Yes
2,0,2,1,0,100347,Yes
4,0,10,0,NA,100354,Yes
2,0,40,3,0,100308,No
4,0,20,1,0,100258,Yes
5,2,100,0,NA,100321,Yes
6,0,0,0,NA,100160,Yes
5,0,0,1,0,100177,Yes
6,0,0,0,NA,100188,Yes
4,0,0,4,1,100191,Yes
3,0,0,0,NA,100192,Yes
4,2,0,0,NA,100212,Yes
2,0,0,0,NA,100213,Yes
7,0,0,3,0,100276,Yes
4,1,0,4,0,100300,Yes
2,0,0,2,0,100303,Yes
2,1,0,2,1,100,No
2,0,0,3,0,100305,Yes
3,1,15,0,NA,100310,No
2,1,60,0,NA,100174,Yes
4,1,0,1,2,100199,Yes
5,2,10,1,3,100204,Yes
5,4,60,3,3,100241,Yes
2,1,10,2,0,100247,Yes
2,1,NA,2,0,100269,Yes
4,0,0,2,0,100273,Yes
4,2,70,0,NA,100278,Yes
3,0,1.25,2,1,100298,Yes
3,0,10,3,0,100333,Yes
2,2,15,0,NA,100134,Yes
4,0,25,0,NA,100162,Yes
5,0,0,2,0,100165,Yes
3,0,25,0,NA,100218,Yes
2,0,20,2,0,100270,Yes
NA,0,0,0,NA,100918,Yes
4,0,0,6,0,110136,Yes
2,0,0,3,0,NA,No
2,0,10,0,NA,NA,No
6,2,15,2,NA,NA,No
4,2,10,0,NA,NA,No
6,2,15,2,NA,NA,No
3,2,20,1,NA,NA,No
2,2,15,2,2,NA,No
3,2,20,0,NA,NA,No
2,2,2,0,NA,NA,No
6,2,20,0,NA,NA,No
2,2,15,0,NA,NA,No
5,2,15,2,3,NA,No
3,2,20,0,NA,NA,No
2,2,10,0,NA,NA,No
2,2,20,2,2,NA,No
2,2,28,0,NA,NA,No
5,2,25,1,3,NA,No
3,2,25,0,NA,NA,No
7,2,30,0,NA,NA,No
3,2,20,0,NA,NA,No
NA,3,15,0,NA,NA,No
4,2,20,0,NA,NA,No
4,2,21,0,NA,NA,No
4,2,15,0,NA,NA,No
3,3,20,0,NA,NA,No
7,2,25,0,NA,NA,No
2,2,15,0,NA,NA,No
4,2,25,0,NA,NA,No
8,2,25,0,NA,NA,No
3,3,25,0,NA,NA,No
4,2,15,1,NA,NA,No
3,2,20,0,NA,NA,No
2,2,15,0,NA,NA,No
2,2,15,0,NA,NA,No
2,2,20,2,2,NA,No
3,2,2,0,NA,NA,No
6,2,30,0,NA,NA,No
3,2,25,0,NA,NA,No
3,2,25,2,2,NA,No
3,2,25,0,NA,NA,No
3,2,15,0,NA,NA,No
5,2,25,0,NA,NA,No
7,2,30,2,NA,NA,No
5,2,25,0,NA,NA,No
4,2,20,0,NA,NA,No
6,2,25,1,2,NA,No
5,2,25,16,NA,NA,No
3,2,25,1,2,NA,No
NA,3,15,0,NA,NA,No
3,2,20,0,NA,NA,No
5,2,20,2,NA,NA,No
1,0,0,0,NA,125025,Yes
6,0,0,2,0,125033,Yes
1,0,0,2,0,125039,Yes
2,0,0,0,NA,125053,Yes
3,0,0,2,0,125054,Yes
4,0,0,1,0,125055,Yes
4,0,0,1,0,125057,Yes
7,0,0,0,NA,125059,Yes
